serial_key,vehicle_line,model_year,order_bank_opens,scheduling_begins,scheduling_next_week,scheduling_production_week,job_1_date,balance_out_date,last_day_to_spec_change_or_cancel,final_order_due_date_commercial,final_order_due_date_state_and_local,order_bank_opens_state_and_local_and_federal_govt,final_order_due_date_state_and_local_and_federal_govt
ranger_23MY,Ranger,23MY,08/05/2022,09/01/2022,No Scheduling,No Scheduling,11/09/2022,06/26/2023,04/27/2023,03/24/2023,08/26/2022,,
ranger_24MY,Ranger,24MY,05/26/2023,TBD,No Scheduling,No Scheduling,08/07/2023,TBD,TBD,TBD,,TBD,TBD
