serial_key,vehicle_line,fuel_type,model_year,order_bank_opens,vso_order_bank_opens,order_bank_opens_commercial,order_bank_opens_state_and_local,scheduling_begins,scheduling_next_week,scheduling_production_week,job_1_date,vso_job_1_date,balance_out_date,last_day_to_spec_change_or_cancel,final_order_due_date_commercial,final_order_due_date_state_and_local_govt_and_federal_govt,final_order_due_date_vso,"lpo_paint:
__gr_green_(pn4gw)
__mb_orange_(pn4gx)
__e4_vermillion_red(pnegc)_
__at_yellow_(pn4gy)_
__by_school_bus_yellow_(pnahf)_
__w6_green_gem_(pn4da)"
super_duty_KTP_23MY,Super Duty,KTP,23MY,10/27/2022,11/17/2022,Please review Quarterly table below,11/28/2022,12/01/2022,Scheduling for March,03/27/2023,01/03/2023,02/13/2023,TBD,TBD,Please review Quarterly table below,01/13/2023,TBD,TBD
super_duty_OHIO_23MY,Super Duty,OHIO,23MY,10/27/2022,11/17/2022,Please review Quarterly table below,11/28/2022,01/19/2023,Scheduling for April - May,4/17 -5/15,02/13/2023,03/20/2023,TBD,TBD,Please review Quarterly table below,01/13/2023,TBD,TBD
