serial_key,vehicle_line,model_year,order_bank_opens,scheduling_begins,scheduling_next_week,scheduling_production_week,job_1_date,balance_out_date,last_day_to_spec_change_or_cancel,final_order_due_date_state_and_local,final_order_due_date_commercial
mustang_23MY,Mustang,23MY,09/21/2022,10/27/2022,No Scheduling,No Scheduling,12/06/2022,04/05/2023,01/12/2023,12/16/2022,12/16/2022
mustang_24MY,Mustang,24MY,03/27/2023,02/09/2023,No Scheduling,No Scheduling,04/17/2023,TBD,TBD,04/26/2023,TBD
