serial_key,vehicle_line,fuel_type,sub_fuel_type,model_year,order_bank_opens,scheduling_begins,scheduling_next_week,scheduling_production_week,job_1_date,balance_out_date,last_day_to_spec_change_or_cancel,final_order_due_date_state_and_local,final_order_due_date_vso
transit_KCAP_ICE_23MY,Transit,KCAP,ICE,23MY,05/31/2022,06/30/2022,Scheduling for April,"4/17,4/24",08/25/2022,TBD,TBD,08/26/2022,TBD
transit_KCAP_BEV_23MY,Transit,KCAP,BEV,23MY,05/31/2022,06/30/2022,Scheduling for April,"4/17,4/24",08/25/2022,TBD,TBD,05/01/2023,TBD
