serial_key,vehicle_line,fuel_type,sub_fuel_type,model_year,order_bank_opens_state_and_local,order_bank_opens_commercial,scheduling_begins,scheduling_next_week,scheduling_production_week,job_1_date,balance_out_date,last_day_to_spec_change_or_cancel,final_order_due_date_state_and_local,final_order_due_date_commercial
maverick_HERMOSILLO_GAS_23MY,Maverick,HERMOSILLO,GAS,23MY,09/15/2022,Please review Quarterly table below,10/27/2022,No Scheduling,No Scheduling,11/23/2022,TBD,TBD,09/23/2022,Please review Quarterly table below
maverick_HERMOSILLO_FHEV_23MY,Maverick,HERMOSILLO,FHEV,23MY,09/15/2022,Please review Quarterly table below,10/27/2022,No Scheduling,No Scheduling,11/23/2022,TBD,TBD,09/23/2022,Please review Quarterly table below
